Giros de la moneda,Resultado
1,cara
2,cara
3,cara
4,cara
5,cara
6,cara
7,cara
8,cara
9,cara
10,cara
11,cara
12,cara
13,sello
14,cara
15,cara
16,cara
17,cara
18,cara
19,cara
20,sello
21,cara
22,cara
23,cara
24,cara
25,cara,
26,cara
27,cara
28,cara
29,cara
30,cara
31,sello
32,cara
33,cara
34,cara
35,cara
36,cara
37,cara
38,cara
39,cara
40,cara
41,cara
42,cara
43,cara
44,cara
45,cara
46,cara
47,cara
48,cara
49,cara
50,cara
51,cara
52,cara
53,cara
54,cara
55,cara
56,cara
57,cara
58,cara
59,cara
60,cara
61,cara
62,cara
63,cara
64,cara
65,cara
66,cara
67,cara
68,cara
69,cara
70,cara
71,cara
72,cara
73,cara
74,cara
75,cara
76,cara
77,cara
78,cara
79,cara
80,cara
81,cara
82,cara
83,cara
84,cara
85,cara
86,cara
87,cara
88,cara
89,cara
90,cara
91,cara
92,cara
93,sello
94,cara
95,cara
96,sello
97,cara
98,cara
99,sello
100,cara
